Subject,Relation,Object,closest biolink predicate
gene,EXPRESSED_IN_CELLTYPE,cell type,biolink:expressed_in
metabolite,ENRICHED_IN_CELLTYPE,cell type,biolink:located_in
variant,EFFECT_IS_CELLTYPE_SPECIFIC,cell type,biolink:affects
variant,ASSOCIATED_WITH_CHROMATIN_QTL (caQTL/hQTL),chromatin region,biolink:associated_with
profile,INFERRED_ACTIVITY_OF_COMPLEX,complex,biolink:enables
variant,PERTURBS_COMPLEX_VIA_SUBUNIT,complex,biolink:affects
metabolite,DERIVED_FROM_DATASET,dataset,biolink:derived_from
callset,STRATIFIES_DIFFERENTIAL_EXPRESSION,DE contrast,biolink:affects
gene,HAS_DISEASE_ASSOCIATION,disease,biolink:gene_associated_with_condition
metabolite,ASSOCIATED_WITH_DISEASE,disease,biolink:associated_with
variant,ASSOCIATED_WITH_DISEASE,disease,biolink:associated_with
profile,ANNOTATED_AS_DISEASE,disease,biolink:gene_associated_with_condition
cell / cluster,DIFFERENTIALLY_EXPRESSED_IN_CELLSTATE,gene,biolink:expresses
gene,PHYSICAL_PROXIMITY_WITHIN_TAD,gene,biolink:co_localizes_with
gene,COEXPRESSES_WITH,gene,biolink:coexpresses_with
gene,CORRELATES_WITH,gene,biolink:correlated_with
gene,GENETIC_INTERACTION_WITH,gene,biolink:genetically_interacts_with
gene,SYNTHETIC_LETHAL_WITH,gene,biolink:genetically_interacts_with
gene,DOSAGE_SENSITIVE_WITH,gene,biolink:genetically_interacts_with
gene,COMPOSED_OF_PROFILE,gene,biolink:has_part
gene,MEMBER_OF_GENE_FAMILY,gene,biolink:in_gene_family_with
gene,TRAJECTORY_ADJACENT_TO,gene,biolink:located_near
gene,ORTHOLOG_OF,gene,biolink:orthologous_to
gene,PARALOG_OF,gene,biolink:paralogous_to
gene,FUNCTIONALLY_LINKED_BY_PPI_GENE_PRODUCTS,gene,biolink:physically_interacts_with
gene,CLUSTERS_WITH,gene,biolink:related_to
gene,BATCH_SIMILAR_TO,gene,biolink:similar_to
gene,SHARES_SIGNATURE_WITH,gene,biolink:similar_to
gene,QUALITY_SIMILAR_TO,gene,biolink:similar_to
profile,DIFFERENTIALLY_EXPRESSED_IN_PROFILE,gene,biolink:associated_with
variant,ASSOCIATED_WITH_VARIANT,gene,biolink:genetically_associated_with
variant,HAS_EQTL_VARIANT,gene,biolink:genetically_associated_with
variant,LOCATED_IN_GENE,gene,biolink:located_in
variant,AFFECTS_GENE_EXPRESSION (eQTL),gene,biolink:affects_expression_of
variant,AFFECTS_SPLICING (sQTL),gene,biolink:affects
variant,AFFECTS_ALLELIC_EXPRESSION (ASE),gene,biolink:affects_expression_of
gene,ANNOTATED_WITH_GO,GO term,biolink:related_to
gene,HAS_PHENOTYPIC_ASSOCIATION,HPO term,biolink:has_phenotype
profile,ASSOCIATED_WITH_PHENOTYPE,HPO term,biolink:associated_with
variant,CORRELATES_WITH_PHENOTYPE,HPO term,biolink:correlated_with
enzyme,PRODUCED_BY_ENZYME,metabolite,biolink:produces
enzyme,CONSUMED_BY_ENZYME,metabolite,biolink:consumes
gene,ASSOCIATED_VIA_ENZYME_GENE,metabolite,biolink:affects
metabolite,CHEMICAL_SIMILAR_TO,metabolite,biolink:chemically_similar_to
metabolite,STRUCTURAL_ANALOG_OF,metabolite,biolink:similar_to
