edge_id,source_id,target_id,relation_type,direction,weight_primary,weight_primary_metric,other_weight_inputs,source_primary,source_secondary
E1,G1,G2,COEXPRESSES_WITH,Bidirectional,0.82,pearson_r,mutual_rank=34;fdr=0.002,GTEx,CoexpNetDB
E2,G2,G3,PATHWAY_CO_MEMBER_WITH,Bidirectional,0.93,pathway_jaccard,shared_pathways=5;total_union=7,Reactome,KEGG
E3,G1,G5,GENETIC_INTERACTION_WITH,Bidirectional,-0.65,GI_score,p_value=1e-5;tier=1,DepMap,BIOGRID
E4,G4,G3,SYNTHETIC_LETHAL_WITH,Bidirectional,0.91,SL_probability,validation_count=3;screen_count=5,ProjectDrive,SynLethDB
E5,G2,GF1,MEMBER_OF_GENE_FAMILY,Directed,1.0,membership_flag,NA,HGNC,NA
E6,G1,T1,HAS_TRANSCRIPT,Directed,1.0,canonical_transcript_flag,NA,Ensembl,NA
E7,G1,P1,ENCODES_PROTEIN,Directed,1.0,canonical_protein_flag,NA,Ensembl,NA
E8,G2,P2,ENCODES_PROTEIN,Directed,1.0,canonical_protein_flag,NA,Ensembl,NA
E9,G1,PW1,INVOLVED_IN_PATHWAY,Directed,0.9,pathway_membership_confidence,evidence_geneset_size=120,Reactome,NA
E10,G2,PW1,INVOLVED_IN_PATHWAY,Directed,0.9,pathway_membership_confidence,evidence_geneset_size=120,Reactome,NA
E11,G3,PW1,INVOLVED_IN_PATHWAY,Directed,0.9,pathway_membership_confidence,evidence_geneset_size=120,Reactome,NA
E12,G2,GO1,ANNOTATED_WITH_GO,Directed,0.95,go_evidence_score,evidence_code=IDA;refs=PMID:123456,GeneOntology,NA
E13,G2,D1,HAS_DISEASE_ASSOCIATION,Directed,0.99,disease_association_score,num_studies=25;max_or=8.1,DisGeNET,ClinVar
E14,DR1,G4,TARGETED_BY_DRUG,Directed,0.98,drug_target_confidence,action_type=inhibitor;binding_affinity_nM=2.3,DrugBank,ChEMBL
E15,G2,TS1,EXPRESSED_IN_TISSUE,Directed,120.5,tpm,rank=90th_percentile,GTEx,NA
E16,TF1,G4,TRANSCRIPTIONALLY_REGULATED_BY_TF,Directed,0.77,regulation_confidence,chipseq_peaks=14;motif_score=11.2,ENCODE,NA
E17,P1,G1,ENCODED_BY_GENE,Directed,1.0,mapping_confidence,evidence=canonical;peptide_support=true,UniProt,Ensembl
E18,P3,G4,ENCODED_BY_GENE,Directed,1.0,mapping_confidence,evidence=canonical;peptide_support=true,UniProt,Ensembl
E19,P4,G6,ENCODED_BY_GENE,Directed,1.0,mapping_confidence,evidence=canonical;peptide_support=true,UniProt,Ensembl
E20,P1,PW1,INVOLVED_IN_PATHWAY,Directed,0.92,pathway_membership_confidence,role=tumor_suppressor;level=core,Reactome,NA
E21,P3,PW2,INVOLVED_IN_PATHWAY,Directed,0.96,pathway_membership_confidence,role=receptor_tyrosine_kinase;level=core,Reactome,NA
E22,P4,PW1,INVOLVED_IN_PATHWAY,Directed,0.94,pathway_membership_confidence,role=dna_repair_enzyme;level=core,Reactome,NA
E23,P1,P2,INTERACTS_WITH,Bidirectional,0.78,ppi_score,methods=Y2H;AP-MS;pubmed_count=12,BIOGRID,IntAct
E24,P3,P4,INTERACTS_WITH,Bidirectional,0.71,ppi_score,methods=CoIP;AP-MS;pubmed_count=5,BIOGRID,STRING
E25,P3,PC1,PART_OF_COMPLEX,Directed,1.0,complex_membership_flag,role=core_subunit;num_sources=3,CORUM,Reactome
E26,EP1,PW1,ACTIVITY_INFERRED_FROM_PROTEOME,Directed,0.88,nes,fdr=0.01;regulated_sites=15,CPTAC,PRIDE
E27,DR1,DR2,STRUCTURALLY_SIMILAR_TO,Bidirectional,0.67,tanimoto_ecfp4,dice_mcs=0.61;scaffold_match=true,ChEMBL,DrugBank
E28,DR2,DR3,INDICATION_OVERLAP_WITH,Bidirectional,0.83,indication_jaccard,shared_indications=2;union_indications=3,DrugBank,ClinicalTrials.gov
E29,DR1,DR3,SYNERGISTIC_WITH_DRUG,Bidirectional,0.72,synergy_score_hsa,num_models=4;best_excess=18.5,PRISM,ComboDB
E30,DR1,P3,TARGETS_PROTEIN,Directed,9.0,pChEMBL,assay_type=Ki;num_assays=7,ChEMBL,BindingDB
E31,DR2,P4,TARGETS_PROTEIN,Directed,8.7,pChEMBL,assay_type=IC50;num_assays=5,ChEMBL,BindingDB
E32,DR2,G2,TARGETS_GENE_VIA_PRODUCT,Directed,0.95,gene_target_score,inferred_via_PARPI;label_status=approved,DrugBank,ClinVar
E33,DR2,PW1,MODULATES_PATHWAY,Directed,0.93,pathway_modulation_score,direction=inhibits;nes=-2.1;fdr=0.005,LINCS,Reactome
E34,DR1,PR1,INDUCES_TRANSCRIPTOMIC_SIGNATURE,Directed,0.89,tau,replicate_agreement=0.8;num_landmark_genes=978,LINCS,NA
E35,PW1,PW3,PARENT_OF_CHILD_OF,Directed,1.0,hierarchy_flag,PW3_is_child_of_PW1,Reactome,PathwayCommons
E36,PW2,PW1,CROSSTALKS_WITH,Bidirectional,0.76,crosstalk_score,shared_components=4;literature_links=10,PathwayCommons,Reactome
E37,DR1,PW2,TARGETED_BY_DRUG_PATHWAY_LEVEL,Directed,0.97,pathway_level_target_score,primary_target=EGFR;downstream_events=15,Reactome,DrugBank
E38,P2,D1,ASSOCIATED_WITH_DISEASE,Directed,0.98,protein_disease_score,num_publications=120;curation_level=reviewed,UniProt,DisGeNET
E39,P2,HPO1,ASSOCIATED_WITH_PHENOTYPE,Directed,0.94,hpo_association_score,num_phenotypes=3;evidence=gene_based,HPO,Monarch
E40,RNA1,G2,MODULATES_GENE_EXPRESSION,Directed,0.9,knockdown_efficiency,percent_kd=85;num_replicates=3,GEO,LINCS
E41,RNA1,PW3,MODULATED_BY_RNATHERAPEUTIC,Directed,0.88,pathway_modulation_score,nes=-1.9;fdr=0.01,GEO,Reactome
E42,PW2,MET1,UTILIZES_OR_PRODUCES_METABOLITE,Directed,0.8,metabolite_usage_score,role=atp_consumption;num_reactions=6,Reactome,KEGG
